Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districts,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
11/17/25 17:19,93,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,Population and birth rates are decreasing nationally and locally.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",More than 20 years,No,I’m aging in place!,Over 65 years,No,,Own your own home,
11/17/25 20:04,94,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow multi-unit housing to be built, particularly close to the Common and along the Rte 10 corridor.  With greater density, maybe there would come the possibility of drawing Advance Transit back to Lyme......",8-MOST Appropriate,5,6,4,3,2,1-LEAST Appropriate,7,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,Yes,,"Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Helping people stay in the community as they age",More than 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/17/25 21:45,95,2-fold increase (4 new units/year),Yes,Yes,No,No,Yes,zoning laws that allow more housing or apartments on existing property footprints,8-MOST Appropriate,6,8-MOST Appropriate,1-LEAST Appropriate,5,4,1-LEAST Appropriate,8-MOST Appropriate,,,,3- 6 dwelling units in a building,"Lyme Common District, Holts Ledge District",Yes,Yes,"we should not be the alternative housing for Hanover, or be the solution to their housing/College problems","Encouraging Accessory Dwelling Units (ADUs), “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,Maybe in the future,,Own your own home,"Lyme is a residential community, not commercial. It is not our problem to solve the employee housing shortage of the UV. It is our problem to address affordability, thus the property tax/school tax issues. While growth is good, until we modify our zoning ordinances to allow some division of larger properties, we can only have apartments built and thus attract users of resources rather than community contributors. What demographic are you hoping to attract?"
11/17/25 23:26,96,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"I’d like to ask the members of the committee to review some numbers that some may find familiar, and while doing so, temporarily ignore the non-financial values of conservation easements and current use.

————————————————————————————————————————————————————

Rich Menge, Chair  - 179.5 acres of land in Lyme.        
Assessed (taxable) Value	$202,200 ($1,126/acre)
Appraised Value	$1,118,400 ($6,230/acre)
82% tax reduction vs. appraised for the Chair of this committee.
—> $28.19/$1000 x ($6230/acre-$1126/acre)(179.5 acres)= $25,826 saved from Lyme’s tax bill each year by Chairman Menge.   ($5700 actual tax on land)
    

Tim Cook, Vice Chair  - 24 acres of land in Lyme.
Assessed (taxable) Value	$216,300 ($9,012/acre)
Appraised Value	$485,200 ($20,216/acre)
55% tax reduction vs. appraised for the Vice Chair of this committee.
—> $28.19/$1000 x ($20216/acre-$9012/acre)(36.97 acres)= $7,580 saved from Lyme’s tax bill each year by Mr. Cook.   ($6097 actual tax on land)


Nat Niles - 36.97 acres of land in Lyme.
Assessed (taxable) Value	$477,100 ($11,775/acre)
Appraised Value	$588,700 ($15,504/acre)
24% tax reduction vs. appraised
—> $28.19/$1000 x ($15504/acre-$11775/acre)(36.97 acres)= $3,886 saved from Lyme’s tax bill each year by Mr. Niles  ($13449 actual tax on land)


David Kahn - 134.1 acres of land in Lyme.
Assessed (taxable) Value	$463,300 ($3,454/acre)
Appraised Value	$1,143,000 ($8,523/acre)
59% tax reduction vs. appraised
—> $28.19/$1000 x ($8523/acre-$3454/acre)(134.1 acres)= $19,162 saved from Lyme’s tax bill each year by Mr. Kahn  ($13,060 actual  tax on land)

————————————————————————————————————————————————————

With that read, 

A) In aggregate, these four committee members alone own 1% of the town’s land and decreased their annual property taxes by $56,545.  

B) The Lyme budget increased $155,969 between 2024 (actual) and 2025 (proposed).  

C) 36% of the 2024 to 2025 budget increase was contained in the tax strategies of just four of these Committee members.  

————————————————————————————————————————————————————

Next part.  Let’s compare those to the property of another committee member.

Vicki Smith, 1.1 acres, on Market Street.
Assessed (taxable) Value	$205,300 ($186,636/acre)
Appraised Value	$205,300 ($186,636/acre)
0% tax reduction vs. appraised
—> $28.19/$1000 x ($0)(1.1 acres)= $0 saved from Lyme’s tax bill each year by Ms. Smith ($5787 actual tax on land.)  

With that read, 

A) Small parcel of in the Lyme Common district have no opportunity for conservation easement and current use tax reduction schemes that owners of larger parcels of land in town make use of.  

B) As we see with Ms. Smith’s property, small parcels of land in parts of Lyme can much higher the assessed land tax rate than larger lots.  Specifically here, Ms. Smith pays 50x the assessed rate per acre than the average assessed rate of the four committee members above.

C) Chairman Menge pays less in tax on his 180 acres than Ms. Smith paid on her 1 acre.  

————————————————————————————————————————————————————

This. is. bonkers.  

————————————————————————————————————————————————————


So I’m very aware of how the Republican-led NH legislature is downshifting costs to property taxes in towns and cities, and how this is ballooning costs.

Regardless of that issue, what we are dealing with above is local tax gamesmanship of conservation easement and current use policies by the few to the determent of the many.  And some of those making use of this are reading this right now.

So when the community is asked to figure out how to afford to live in this town, we’re going to have to deal with how a small number of residents (including members of this committee) are people figured out to drastically reduce their tax liability using conservation easement and current use.    And you’ve asked the rest who can’t exploit that legal loophole to come up with answers.  We’re pointing at your loopholes.   

What I request is this:

Give us the total dollar amount in assessed vs. appraised LAND value in Lyme.  What’s the difference between those two numbers?  And what would be the tax on that difference? 
From there, let’s imagine a path where that assessed value went up 10% closer to the appraised value… or 25%… or 50%.  What would happen to our OVERALL town and school budget?  Give us the numbers -  We’re all smart people here - most of us have advanced degrees.  That way we get an idea of how much more the smaller parcels in town are paying in taxes to subsidize the tax schemes of the larger landholders.  

I think that’s important to know, as because as Mr. Kahn said recently,  “I don’t know if it’s fair to ask the citizens of the town of Lyme to use their taxes to subsidize an individual family like that.”  ",7,6,5,4,2,3,1-LEAST Appropriate,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Nearby Thetford Bridge",Yes,No,"I had a member of the zoning board tell me that the PURPOSELY slowed down building in Lyme to keep new kids out of the Lyme School.  This was because they thought no one wanted to pay extra teachers when the classes need to split.

That’s great, but with low supply and high demand for a good school, prices for starter homes are now impossibly high.  So great job, Zoning Board!  You did your job, got your housing value appreciation, and screwed over the next generation of new Lymies.  Enjoy your retirement, but don’t complain you can’t afford to live here.

Side note - to the best of my knowledge, this policy was never explicitly stated to the town.  ","Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,Yes,Property taxes are now 13% of my income.  And I'm a freaking PhD.  I've seen my house value go up from $350k to an expected sale price of $850k.  Guys - the town's broken.  ,46 to 65 years,No,"I'm out of here.  It's been great, but if 92% of the town's land is in conservation easement and current use, then there's nowhere to build.  And if there's nowhere to build, or if people scaremonger on the listserv that ""Walmart is going to come in at Bailey's Farm"" if zoning is changed (do you guys even understand we have no sewer?) then it's game over - there's not going to be any clear eyed view of how to get out of this as the large landowners (including those on this committee) won't want to give up their low tax rate.  And as the NH State Legislature downshifts more and more to the towns, it's just going to get worse.",Own your own home,"It's incredibly disappointing to see the fiddling that Lyme is doing in terms of housing while places like Lebanon, WRJ, and even Norwich and Hanover do the heavy lifting to deal with the lack of housing in the area.  Do you think they don't notice Lyme locking up 92% of the land and doing nothing?  It's shameful.  Leb doesn't have this cultural imperative to  interested to put up more and more apartments on Mt. Support Road, but they know they have to do SOMETHING.  Lyme is pricing out even doctors with this flaccid, hand-on-the-chin response.  Do something.  It may not be perfect.  But that's okay.  Perfect is the enemy of good.  Act.  Build.  Step up.  "
11/18/25 10:08,97,4-fold increase (8 new units/year),Yes,Yes,,Yes,Yes,More duplexes and multi family dwellings would help ,,,,8-MOST Appropriate,,,,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building",Rural District,Yes,Yes,,"Helping people stay in their current housing, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",10 to 20 years,Maybe,Depends on my family situation ,Over 65 years,Maybe in the future,Will likely downsize when I can no longer personally care for my current house and land,Own your own home,There is no question more housing/commercial space needs to be built in Lyme. The tax base should be expanded to help with the yearly increase in support needed for the school and other town expenses. Otherwise I see no end to the tax increases in this town.
11/18/25 13:59,98,No increase (2 new units/year),No,No,No,Yes,No,Reduce realtor fees,7,6,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building",None of the above,No,Yes,,None of the above,,,,,,,,
11/19/25 08:31,99,2-fold increase (4 new units/year),Yes,Yes,No,Yes,No,perhaps a cap on rent increases?,6,2,2,8-MOST Appropriate,7,6,1-LEAST Appropriate,7,,,,Duplex (two family),Rural District,Yes,Yes,"I think there should be more attainable housing for younger families, however, we want to keep the rate lower than what was recommended by the state so as not to overwhelm our exceptional school district.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Attracting younger residents and families with children",Less than 5 years,No,,18 to 45 years,No,,Own your own home,"It was incredibly hard for us to get into the Lyme community, and I know families who have bounced from rental to rental due to a variety of factors, which is very stressful for a family with children.  I think we should make it possible for those families - especially those that are younger and bring the capability to balance out and help care for our aging population (i.e. people who will volunteer in fire/EMT capacity, those who could be plumbers, electricians and gardeners who can help maintain houses of the elderly, etc).  It should not be so expensive that Lyme excludes families who could work in our school, or work in our local businesses - instead of having people drive in 45 mins (of which I know many) just to get here."
11/19/25 08:47,100,No increase (2 new units/year),No,No,No,No,No,,,,,,,,,8-MOST Appropriate,,,,Minimal or no housing,None of the above,No,Yes,"The cost per student is currently roughly $33,000. There is no way to make up that amount money in tax revenue if it is a multi unit dwelling or rental property, the tax burden disproportionately shifts the existing homeowners.  This year alone we have an unanticipated number of high school students who have moved to town and in some cases are in rentals. In this situation and multi unit situations, the tax rate applied does not come close to covering the bear cost of educating these individuals. ","Helping people stay in their current housing, Preservation of existing affordable housing, Helping people stay in the community as they age",,No,,46 to 65 years,No,,Own your own home,"The current housing shortage in the Upper Valley is largely a product of demand that not generated in Lyme and out of our control. I do not think it is incumbent on us, the citizens of Lyme to compromise our town and quality of life for the benefit of other entities. This should not be our burden. "
11/19/25 09:49,101,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Lyme needs more housing of any kind. If we relax our zoning restrictions then property owners will be free to build housing of all types which will necessarily increase the stock of both affordable and attainable housing. Especially in the common and business districts there is no reason we should disallow apartments and duplexes.,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,We can expand the school in place by building up instead of out. There are schools that serve more than a thousand students on the same footprint in other parts of the country.,"Encouraging more housing options/choices/types town-wide, Attracting younger residents and families with children, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",,Yes,"I want to live in this community for the rest of my life. Lyme needs to grow it's housing stock to accommodate more than just retirees, otherwise there will be no one to work at the school or the restaurants on the common, or the skiway.",18 to 45 years,No,,Own your own home,Please relax our zoning laws and make it easier for landowners to develop their land into housing. We can grow without ruining the town character. A few apartments and more neighbors are a good thing!
11/19/25 11:20,102,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"To achieve permanent affordability in housing, it would make sense to work with a residential community land trust (CLT).  The CLT maintains ownership of the land, providing a low-cost land lease to the buyer who owns the home and other improvements on the land. The home can only be sold to another income eligible household, with limited appreciation, keeping the home affordable.",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Wherever single-family dwellings are allowed",Yes,No,"The rapid expansion of family size appears to be behind us.  School enrollment appears to be stable or slightly decreasing.  With the relatively slow growth pattern suggested in this survey, the school district would have time to adjust.","Helping people stay in their current housing, Preservation of existing affordable housing, Encouraging Accessory Dwelling Units (ADUs)",Less than 5 years,No,,Over 65 years,No,,Own your own home,"In order to move here, we had to pay $565,000 for a modest home with many deferred maintenance needs.  Being here lets us be in our grandchildren's lives, and we are able to make the finances work.  Before I retired in 2008, I worked in the affordable housing field.  I would be happy to engage in local efforts to seek permanently affordable housing.  Richard Trefren"
11/19/25 11:29,103,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,8-MOST Appropriate,along Rt 10,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,No,,"Creating housing with a mix of price ranges, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Attracting younger residents and families with children",5 to 10 years,No,,18 to 45 years,No,already own,Own your own home,
11/19/25 11:44,104,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow more development to achieve these goals, ideally our kids should someday be able to live in this community they grew up in.  Right now that is frequently not possible unless they live with parents or have family land to build on.",8-MOST Appropriate,2,7,6,4,3,,5,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",More than 20 years,No,,46 to 65 years,Maybe in the future,,,
11/19/25 12:23,105,No increase (2 new units/year),,,,Yes,Yes,,,,,,,,,,,,,"Duplex (two family), 3- 6 dwelling units in a building",,Yes,Yes,,"Helping people stay in their current housing, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/19/25 13:22,106,3-fold increase (6 new units/year),Yes,Yes,Yes,Yes,Yes,,6,6,7,8-MOST Appropriate,7,6,5,8-MOST Appropriate,,,,"Minimal or no housing, Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,Supporting the growth of young families with kids is the only way that the elderly are going to be able to age in place. ,"Helping people stay in their current housing, Encouraging more housing options/choices/types town-wide, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/19/25 14:28,107,No increase (2 new units/year),No,No,No,No,Yes,"The town is exceptionally well-run, and the schools, roads, and other services are excellent. However, a more moderate tax rate would help everyone.  I would like to see more economies on the spending side.  This would help the affordability of existing housing.",2,1-LEAST Appropriate,2,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,,,Minimal or no housing,None of the above,No,Yes,"Bigger is NOT always better. In fact, it's almost always worse.","Helping people stay in their current housing, Preservation of existing affordable housing",5 to 10 years,No,Been here part-time for 50 years; then full-time for almost 6 years.,Over 65 years,No,,Own your own home,"Lyme is special. Let's retain that, and think about sustainability. A larger population and more housing is NOT a component of that sustainability.  But thanks for asking."
11/19/25 17:11,108,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, East Lyme District, Wherever single-family dwellings are allowed",Yes,No,"As school expansion could be budgeted for, should the student population increase based on expanded housing. It should not be prohibitive when it does not currently present a challenge. ","Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Ensuring there is access to affordable or attainable housing. ",More than 20 years,Maybe,,18 to 45 years,No,,Rent,
11/19/25 17:14,109,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow increased density and some limited multi-unit development in the Lyme Common zone, looking in particular at the space in the triangle between Rte 10, Dorchester Rd and High Street",8-MOST Appropriate,6,8-MOST Appropriate,4,4,4,2,6,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building",Lyme Common District,Yes,No,"Expansion is limited at the current site, but there is still room for some more expansion. Not  the easiest thing in the world, but having worked through some plans previously it would be possible to add more classroom space by going to two floors on the North wing of the school.
","Creating housing with a mix of price ranges, Encouraging Accessory Dwelling Units (ADUs), “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,46 to 65 years,No,,Own your own home,
11/19/25 17:47,110,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Limited equity ownership; land donations; small homes,7,6,6,5,6,6,6,4,8-MOST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed",Yes,No,"It’s a misnomer to think that increased population and density increase costs for the school district. They are more than offset by the taxes raised for such dwellings. And, please check many ads for residential housing in Lyme—there is a consistent theme that the Lyme SAU is great (both pre-K to 8th grade and because of school choice for high school), so this fact is not news. ","Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,"Lyme is my home. It is where I raised my family and where I intend to live the rest of my life. That said, we must attract another 250-500 residents in order to meet the silver tsunami which will hit our workforce in NH in the next five years. ",46 to 65 years,No,Our home serves our growing family as children get married and give birth to their children. We are the country home for our extended family. ,Own your own home,"Lyme often brings a NIMBY attitude to housing development, but there is an opportunity to deepen the character of our community by increasing the number and type of housing in our core areas. "
11/19/25 17:47,111,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,7,6,7,7,7,6,8-MOST Appropriate,,,,Minimal or no housing,"Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age",More than 20 years,No,,46 to 65 years,No,,Own your own home,
11/19/25 19:56,112,No increase (2 new units/year),No,No,No,No,No,,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,"Minimal or no housing, Duplex (two family)",None of the above,No,Yes,,"Helping people stay in their current housing, Helping people stay in the community as they age",More than 20 years,No,,46 to 65 years,No,,Own your own home,"Although we may see a short-term housing 'crunch' the projections indicated that population in NH will decline steadily beyond 2040. That said, if we continually increase supply of housing at the rates indicated by the folks at the UVLSRPC we will have a surplus of housing  starting in 15 years. This type of growth will change the landscape of our town. I would urge the Lyme planning board to focus on what our grandkids will see?  Will Lyme look like many towns in Massachusetts? Or can we preserve the open spaces and clean air? Or will we litter  our landscape with abandoned houses because we have too many? 2 new structures in town per year is a lot... maybe already too many. 

Thank you for your efforts and for seeking public input! 

 "
11/19/25 21:04,113,2-fold increase (4 new units/year),Yes,Yes,No,Yes,No,Nope,8-MOST Appropriate,3,8-MOST Appropriate,3,3,3,3,3,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building",Lyme Common District,Yes,Yes,,"Helping people stay in their current housing, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age",More than 20 years,Maybe,,Over 65 years,Maybe in the future,,Own your own home,
11/19/25 21:27,114,No increase (2 new units/year),No,No,No,Yes,Yes,"Remove the guard rail and no parking signs at the skiway, be welcoming to visitors",3,5,4,7,8-MOST Appropriate,1-LEAST Appropriate,6,2,,,"Remove the guard rail and no parking signs at the skiway, encourage a Dartmouth to develop year round recreation, be nice to  Dartmouth ",Single family home,None of the above,No,No,Remove the guard rail and no parking signs at the skiway,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Attracting younger residents and families with children",10 to 20 years,Yes,"The selectboard has ruined the scenic beauty of the skiway area with sign pollution, day and especially at night the reflective signs creates a gauntlet like experience, eyes are drawn to the roadway rather than the beauty of the area, the selectboard has created a solution in search of a problem",Over 65 years,Yes,The select board has ruined the natural beauty of the skiway area by placing in excess of 35 signs in less than a 1/2 mile stretch of town road. This sign pollution encompasses the greatest sign density/mile of any roadway in the upper valley. Absolutely hideous and unnecessary ,Own your own home,Return the grafton turnpike adjacent to the skiway back to it’s natural state 
11/20/25 12:50,115,5-fold increase (10 new units/year),,,Yes,Yes,Yes,Allow smaller denser options,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,Along route 10,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Along route 10",Yes,No,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs)",5 to 10 years,No,,Over 65 years,No,,Own your own home,
11/20/25 14:36,116,4-fold increase (8 new units/year),,,Yes,Yes,Yes,Provide subsidies housing,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Wherever single-family dwellings are allowed",Yes,No,We have 15 years to plan,"Helping people stay in their current housing, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/20/25 14:52,117,5-fold increase (10 new units/year),Yes,Yes,No,Yes,Yes,Get the Planning Board to rewrite the Zoning ordinance.  Currently it is geared specifically to large single house units on any plots,7,6,8-MOST Appropriate,8-MOST Appropriate,2,2,2,8-MOST Appropriate,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Rural District, Wherever single-family dwellings are allowed",Yes,No,The Planning Board consistently claims that any increase in housing will result in an inordinate increase in school registration.  This is totally untrue.,"Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",More than 20 years,Maybe,,Over 65 years,Yes,,Own your own home,
11/20/25 15:54,118,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,,8-MOST Appropriate,,,,,"Lyme Common District, Lyme Center District, Rural District, East Lyme District",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",5 to 10 years,No,,46 to 65 years,Maybe in the future,,Own your own home,
11/20/25 19:51,119,3-fold increase (6 new units/year),No,Yes,No,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,3- 6 dwelling units in a building,"Lyme Common District, Lyme Center District, Lyme commercial",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Helping people stay in the community as they age",Less than 5 years,No,My wife and I moved here in August with two young children (4&2). We were attracted to Lyme for its unique mixture of environmental beauty and strong education system. We plan on raising our family here.,18 to 45 years,No,,Own your own home,We're interested in seeing the community expand reasonably - both residentially and commercially - while maintaining the characteristics that attracted us to Lyme in the first place.
11/21/25 08:42,120,3-fold increase (6 new units/year),Yes,No,No,Yes,No,"I think that more attainable will allow more affordable, it will create more competition amongst landlords to lower prices rather than name their price as it almost seems like it is for today",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,5,5,5,5,5,,,,"Duplex (two family), 3- 6 dwelling units in a building",Lyme Center District,Yes,Yes,,"Encouraging more housing options/choices/types town-wide, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,18 to 45 years,No,,Own your own home,"Overall, it would be nice to keep Lyme the same. However, I think that some of the current zoning restrictions could be loosened easily to allow for a sub division of property. Such as the driveway length restriction, road frontage restriction, and acreage restriction. We pay a lot in taxes for land that can only be looked at. It would be nice to have the value reflect that of a potential sub division such as say 1 house on a 5 acre lot and not 10 acres. There are also too many loopholes for the zoning to pull into each scenario such as ""agricultural soils"" and other things of that nature which reduces the overall lot from a potential sub division. I do not think we need to blow Lyme up and allow for it to turn into Hanover, but, we certainly could use a little more options for residents in my opinion"
